"User-ID;""Location"";""Age"""
"2;""stockton", california," usa"";""18"""
"19;""weston", ,";14"""
"537;""davis", california,";NULL
538"";""perryville", missouri," usa"";""26"""
"7;""washington", dc," usa"";""22"""
"8;""timmins", ontario," canada"";""21"""
"9;""germantown", tennessee," usa"";NULL"
"10;""albacete", wisconsin," spain"";""26"""
"12;""fort bragg", california," usa"";""33"""
"14;""mediapolis", iowa," usa"";""20"""
"16;""albuquerque", new mexico," usa"";""22"""
"17;""chesapeake", virginia," usa"";""21"""
"20;""langhorne", pennsylvania," usa"";""19"""
"22;""erfurt", thueringen," germany"";NULL"
"23;""philadelphia", pennsylvania," usa"";""26"""
"26;""bellevue", washington," usa"";""22"""
"32;""portland", oregon," usa"";""55"""
"36;""montreal", quebec," canada"";""24"""
"38;""viterbo", lazio," italy"";""34"""
"39;""cary", north carolina," usa"";NULL"
"42;""appleton", wisconsin," usa"";""17"""
"44;""black mountain", north carolina," usa"";""51"""
"51;""renton", washington," usa"";""34"""
